text,id,label,annotator,annotation_id,created_at,updated_at,lead_time
"When do you think I'd get SKU #: 030963020500 if I order tomorrow and it's being shipped to Tulsa, Oklahoma?",86,"[{""start"": 33, ""end"": 45, ""text"": ""030963020500"", ""labels"": [""PRODUCT""]}]",2,86,2021-11-21T22:50:30.924559Z,2021-11-21T22:50:30.924600Z,3.636
"I'm looking to purchase the detox tea Item: TLT002 but just wanted to check with you on when I'd receive this if going to Pittsburgh, PA? Do you give tracking numbers with your orders?",85,"[{""start"": 44, ""end"": 50, ""text"": ""TLT002"", ""labels"": [""PRODUCT""]}]",2,85,2021-11-21T22:50:26.706367Z,2021-11-21T22:50:26.706410Z,5.251
"If I were to buy this one table lamp (324317) and wanted to have it sent to Surrey, British Columbia up in Canada, could I do that  or can you not ship things outside the United States?",84,"[{""start"": 38, ""end"": 44, ""text"": ""324317"", ""labels"": [""PRODUCT""]}]",2,84,2021-11-21T22:50:20.896227Z,2021-11-21T22:50:20.896263Z,3.185
Okay\ I'm going to be getting the Infinity Pendant Necklace style N09271DSSADI. For shipping to Long Island\ NY 11101\ do you use USPS or is there any way I can request USPS as the carrier? I have nothing but problems with UPS and I'd rather just avoid using them altogether if I can.,83,"[{""start"": 66, ""end"": 78, ""text"": ""N09271DSSADI"", ""labels"": [""PRODUCT""]}]",2,83,2021-11-21T22:50:16.752240Z,2021-11-21T22:50:16.752280Z,5.172
"I think I'm going to get the Simpli Home Draper Mid Century Wide Bookcase- ASIN B01MT3KLRD but when would I get it if being shipped to Seattle, WA with standard shipping speed?",82,"[{""start"": 80, ""end"": 90, ""text"": ""B01MT3KLRD"", ""labels"": [""PRODUCT""]}]",2,82,2021-11-21T22:50:10.898428Z,2021-11-21T22:50:10.898468Z,3.773
"When do you think I'd receive the Striped scuba fit and flare dress, item number 243879 if I order today and have it sent to Hartford, CT? Would a signature be required upon delivery or would it be left outside my door?",81,"[{""start"": 81, ""end"": 87, ""text"": ""243879"", ""labels"": [""PRODUCT""]}]",2,81,2021-11-21T22:50:06.559570Z,2021-11-21T22:50:06.559612Z,2.763
"When would the estimated delivery date be if I was to order this creamsicle flavored protein powder, 370028, and have it sent to Atlanta, GA?",80,"[{""start"": 101, ""end"": 107, ""text"": ""370028"", ""labels"": [""PRODUCT""]}]",2,80,2021-11-21T22:50:03.230433Z,2021-11-21T22:50:03.230474Z,4.201
"Could you tell me when I'd receive the NOW Foods Creatine Monohydrate (Item: NWF876) if I order sometime today and it's being sent to Denver, CO? Do you have any expedited options?",79,"[{""start"": 77, ""end"": 83, ""text"": ""NWF876"", ""labels"": [""PRODUCT""]}]",2,79,2021-11-21T22:49:58.442446Z,2021-11-21T22:49:58.442488Z,5.648
"When would the estimated delivery date be if I was to order the this whey protein, item number OP-1009/1629500 and have it sent to Atlanta, GA?",78,"[{""start"": 95, ""end"": 110, ""text"": ""OP-1009/1629500"", ""labels"": [""PRODUCT""]}]",2,78,2021-11-21T22:49:52.185745Z,2021-11-21T22:49:52.185787Z,128.563
"I am going to order some omega fish oil softgels, specifically ITEM # : YE-1025/1687979, but would like to get it in the next few days. Do you have an expedited shipping speed I might be able to choose at checkout? If I choose your standard shipping speed, when would I get this in Las Vegas, NV?",75,"[{""start"": 72, ""end"": 87, ""text"": ""YE-1025/1687979"", ""labels"": [""PRODUCT""]}]",2,75,2021-11-21T22:47:39.479208Z,2021-11-21T22:47:39.479246Z,13.358
"Could you tell me about when I'd receive this marc jacobs perfume 536613 if I order tomorrow and it's being shipped to Salt Lake City, UT 84133?",74,"[{""start"": 66, ""end"": 72, ""text"": ""536613"", ""labels"": [""PRODUCT""]}]",2,74,2021-11-21T22:47:25.586510Z,2021-11-21T22:47:25.586552Z,3.94
"I want to get the RCA phone (item : 703670) but wanted to see when you think I'd receive this if I order today and have it sent to St. Louis, MO? Do you have a faster shipping speed I could possibly select?",72,"[{""start"": 36, ""end"": 42, ""text"": ""703670"", ""labels"": [""PRODUCT""]}]",2,72,2021-11-21T22:47:18.080557Z,2021-11-21T22:47:18.080598Z,4.694
"Could you tell me about when I'd receive the accordian wallet 57713 if I order tomorrow and it's being shipped to Salt Lake City, UT 84116?",71,"[{""start"": 62, ""end"": 67, ""text"": ""57713"", ""labels"": [""PRODUCT""]}]",2,71,2021-11-21T22:47:12.780457Z,2021-11-21T22:47:12.780499Z,514.912
"I don't have to be home to accept a delivery if I just order the Mukluk (SKU 8590088), do it? Is there any way I can specify that the delivery by left at my back door instead of on my porch? I prefer this when I'm at work.",70,"[{""start"": 77, ""end"": 84, ""text"": ""8590088"", ""labels"": [""PRODUCT""]}]",2,70,2021-11-21T22:38:37.325184Z,2021-11-21T22:38:37.325225Z,2.56
"I want to get a babydoll (AK-186-982) but wanted to see when you think I'd receive this if I order today and have it sent to St. Louis, MO? Do you have a faster shipping speed I could possibly select?",69,"[{""start"": 26, ""end"": 36, ""text"": ""AK-186-982"", ""labels"": [""PRODUCT""]}]",2,69,2021-11-21T22:38:34.115190Z,2021-11-21T22:38:34.115229Z,3.227
"How much would it cost to ship the Single travel hammock (8389C) using your quickest shipping speed to St. Louis, Missouri?",68,"[{""start"": 58, ""end"": 63, ""text"": ""8389C"", ""labels"": [""PRODUCT""]}]",2,68,2021-11-21T22:38:30.110362Z,2021-11-21T22:38:30.110402Z,2.964
"When do you think I'd receive this top (SKU 8903589) if I order later today and have it shipped to Madison, Wisconsin? Do you have a fast shipping option, like two or three day delivery?",66,"[{""start"": 44, ""end"": 51, ""text"": ""8903589"", ""labels"": [""PRODUCT""]}]",2,66,2021-11-21T22:38:24.261702Z,2021-11-21T22:38:24.261742Z,3.845
"I was thinking of ordering the Crystal Doll Chiffon Overlay Dress #2708278 in a girls size 8 but wanted to know when I would receive it in Austin, TX if I was to order later today?",65,"[{""start"": 67, ""end"": 74, ""text"": ""2708278"", ""labels"": [""PRODUCT""]}]",2,65,2021-11-21T22:38:19.819694Z,2021-11-21T22:38:19.819748Z,2.8
"If I decide to order the no iron dress shirt in white and a regular size 6, Item #484705A84, is there a shipping speed you have that could get this to me in Detroit, Michigan in the next three days? Will I be able to track the order after it ships?",64,"[{""start"": 82, ""end"": 91, ""text"": ""484705A84"", ""labels"": [""PRODUCT""]}]",2,64,2021-11-21T22:38:16.389987Z,2021-11-21T22:38:16.390025Z,3.496
"If I decide to order the Snake Clutch (SKU: #8755555), is there a shipping speed you have that could get this to me in Fort Lauderdale, FL in the next three days?",63,"[{""start"": 45, ""end"": 52, ""text"": ""8755555"", ""labels"": [""PRODUCT""]}]",2,63,2021-11-21T22:38:12.302698Z,2021-11-21T22:38:12.302737Z,2.975
"I was thinking of ordering this dress, product code 808178 but wanted to know when I would receive it in Austin, TX if I was to order later today?",62,"[{""start"": 52, ""end"": 58, ""text"": ""808178"", ""labels"": [""PRODUCT""]}]",2,62,2021-11-21T22:38:08.604138Z,2021-11-21T22:38:08.604186Z,3.287
"When is the estimated delivery date if I was to order the Creatine Creapure (SWU734) and have it sent to Boston, MA?",61,"[{""start"": 77, ""end"": 83, ""text"": ""SWU734"", ""labels"": [""PRODUCT""]}]",2,61,2021-11-21T22:38:04.743865Z,2021-11-21T22:38:04.743904Z,3.332
"When do you think I'd receive the Graduated Ball Necklace (121912726) if I order today and have it sent to Hartford, CT? Would a signature be required upon delivery or would it be left outside my door?",60,"[{""start"": 59, ""end"": 68, ""text"": ""121912726"", ""labels"": [""PRODUCT""]}]",2,60,2021-11-21T22:38:00.771480Z,2021-11-21T22:38:00.771523Z,3.229
"Is there a step up from your standard shipping to something quicker, that's not overnight or next-day shipping? I'd like to get the duster vest Item Number #242785 in a size 20 rather quickly, but I don't want to pay a fortune in delivery fees. On average, how long would it take for me to see this if I live in Radcliff, KY 40159?",59,"[{""start"": 157, ""end"": 163, ""text"": ""242785"", ""labels"": [""PRODUCT""]}]",2,59,2021-11-21T22:37:57.008637Z,2021-11-21T22:37:57.008690Z,4.445
I am going to order the LuckyVitamin fish oil (157713) but would like to get it in the next few days. Do you have an expedited shipping speed I might be able to choose at checkout?,58,"[{""start"": 47, ""end"": 53, ""text"": ""157713"", ""labels"": [""PRODUCT""]}]",2,58,2021-11-21T22:37:51.874118Z,2021-11-21T22:37:51.874155Z,3.342
"I was thinking of ordering the The Children's Place Girls' Skater Style Dress (ASIN: B01KVR9ZAC) but wanted to know when I would receive it in Austin, TX if I was to order later today? Do you offer tracking on all your orders?",57,"[{""start"": 85, ""end"": 95, ""text"": ""B01KVR9ZAC"", ""labels"": [""PRODUCT""]}]",2,57,2021-11-21T22:37:47.894213Z,2021-11-21T22:37:47.894253Z,3.164
"Could you tell me when I'd receive the NOW Foods - Creatine (Item #: 49018) if I order sometime today and it's being sent to Denver, CO? Do you have any expedited options?",56,"[{""start"": 69, ""end"": 74, ""text"": ""49018"", ""labels"": [""PRODUCT""]}]",2,56,2021-11-21T22:37:44.176890Z,2021-11-21T22:37:44.176932Z,2.882
"Is there a way to sign up for delivery alerts via text? I'm going to be ordering the Rogue Carryall, product 54556, and having it sent to me in Pineville, NC 28134, and I'd love to get an alert when it arrives.",55,"[{""start"": 109, ""end"": 114, ""text"": ""54556"", ""labels"": [""PRODUCT""]}]",2,55,2021-11-21T22:37:40.683599Z,2021-11-21T22:37:40.683638Z,3.549
"How much will your standard shipping cost to ship this galaxy tab 887276140001 to Tampa FL, 33602? And do you offer free shipping if I spend over a certain amount?",53,"[{""start"": 66, ""end"": 78, ""text"": ""887276140001"", ""labels"": [""PRODUCT""]}]",2,53,2021-11-21T22:37:30.151276Z,2021-11-21T22:37:30.151350Z,3.755
"I'd like to order the ECHO backpack leaf blower (205894368), but I'd want to be sure the delivery people don't just leave it at my door. Could I specify in my order that someone has to be there to sign for the package before it gets delivered?",52,"[{""start"": 49, ""end"": 58, ""text"": ""205894368"", ""labels"": [""PRODUCT""]}]",2,52,2021-11-21T22:37:25.808389Z,2021-11-21T22:37:25.808429Z,3.653
"When would I receive the LuckyFit whey protein powder #157716 if I order today and it's shipping to Fort Myers, FL?",51,"[{""start"": 54, ""end"": 61, ""text"": ""#157716"", ""labels"": [""PRODUCT""]}]",2,51,2021-11-21T22:37:21.531696Z,2021-11-21T22:37:21.531734Z,2.671
"I was thinking of ordering this pink gingham dress for my daughter, the ITEM# GD00270 in a size 10, but wanted to know when I would receive it in Austin, TX if I was to order later today? Do you offer tracking on all your orders?",50,"[{""start"": 78, ""end"": 85, ""text"": ""GD00270"", ""labels"": [""PRODUCT""]}]",2,50,2021-11-21T22:37:18.279527Z,2021-11-21T22:37:18.279573Z,4.311
"I may buy the Whitney nightstand #768893, but wanted to see if you had a shipping speed that could get this to me in Boston, MA in the next three days? If I settle for standard shipping, when would I receive this?",49,"[{""start"": 33, ""end"": 40, ""text"": ""#768893"", ""labels"": [""PRODUCT""]}]",2,49,2021-11-21T22:37:13.366871Z,2021-11-21T22:37:13.366930Z,3.349
I am going to order the Lemon fish oil (SW1253) but would like to get it in the next few days. Do you have an expedited shipping speed I might be able to choose at checkout?,48,"[{""start"": 40, ""end"": 46, ""text"": ""SW1253"", ""labels"": [""PRODUCT""]}]",2,48,2021-11-21T22:37:09.393234Z,2021-11-21T22:37:09.393272Z,3.011
"If I decide to order the Ludlow shirt in a size large, item 02685, is there a shipping speed you have that could get this to me in Detroit, Michigan in the next three days? Will I be able to track the order after it ships?",47,"[{""start"": 60, ""end"": 65, ""text"": ""02685"", ""labels"": [""PRODUCT""]}]",2,47,2021-11-21T22:37:05.838560Z,2021-11-21T22:37:05.838598Z,3.094
"Could you tell me about when I'd receive these flats 637159 if I order tomorrow and it's being shipped to Salt Lake City, UT? Do you have a two or three day shipping option?",46,"[{""start"": 53, ""end"": 59, ""text"": ""637159"", ""labels"": [""PRODUCT""]}]",2,46,2021-11-21T22:37:02.164260Z,2021-11-21T22:37:02.164299Z,3.532
"When do you think I'd receive the Lugano suede and gold-plated watch- product code 861432 if I order later today and have it shipped to Madison, Wisconsin? Do you have a fast shipping option, like two or three day delivery?",45,"[{""start"": 83, ""end"": 89, ""text"": ""861432"", ""labels"": [""PRODUCT""]}]",2,45,2021-11-21T22:36:58.040459Z,2021-11-21T22:36:58.040495Z,3.66
"If I decide to order ITEM# 010E, is there a shipping speed you have that could get this to me in Detroit, Michigan in the next three days? Will I be able to track the order after it ships?",42,"[{""start"": 27, ""end"": 31, ""text"": ""010E"", ""labels"": [""PRODUCT""]}]",2,42,2021-11-21T22:36:48.435658Z,2021-11-21T22:36:48.435698Z,3.774
"When do you think I'd receive the Women's Sleeveless No Iron Shirt (item #485081A6X) if I order later today and have it shipped to Madison, Wisconsin? Do you have a fast shipping option, like two or three day delivery?",40,"[{""start"": 74, ""end"": 83, ""text"": ""485081A6X"", ""labels"": [""PRODUCT""]}]",2,40,2021-11-21T22:36:40.890105Z,2021-11-21T22:36:40.890141Z,3.222
"I want to get the North Face jacket (Web ID: 2916182) as a gift for my mother but would need to receive this within the next three days in Columbus, OH. Do you have a shipping speed that could make that possible? If I settle for standard shipping, when would I receive this in your estimate?",39,"[{""start"": 45, ""end"": 52, ""text"": ""2916182"", ""labels"": [""PRODUCT""]}]",2,39,2021-11-21T22:36:37.052187Z,2021-11-21T22:36:37.052225Z,3.174
"I think I'd like to get the Oceanica Pearl and Bead Link Necklace  stle number N13336 SBKGPHERG36, and it would need to come to my house pretty quickly. Do you know how long it would take to get that to me in Matthews, NC (Zip: 28104), using your fastest option? And how much would that cost me?",38,"[{""start"": 79, ""end"": 97, ""text"": ""N13336 SBKGPHERG36"", ""labels"": [""PRODUCT""]}]",2,38,2021-11-21T22:36:33.284178Z,2021-11-21T22:36:33.284216Z,10.072
"I think I'm going to get the denim popover shirtdress #528557 but when would I get it if being shipped to Seattle, WA with standard shipping speed? If I'm not home when it's delivered will it be left at the post office?",37,"[{""start"": 55, ""end"": 61, ""text"": ""528557"", ""labels"": [""PRODUCT""]}]",2,37,2021-11-21T22:36:22.614549Z,2021-11-21T22:36:22.614587Z,2.815
"I was thinking of ordering the Knitted mini dress, produt code 815096 but wanted to know when I would receive it in Austin, TX if I was to order later today? What expedited shipping options do you have?",36,"[{""start"": 63, ""end"": 69, ""text"": ""815096"", ""labels"": [""PRODUCT""]}]",2,36,2021-11-21T22:36:19.204949Z,2021-11-21T22:36:19.204989Z,3.457
"The InSinkErator Badger garbage disposal #50362 looks like it's what I need. Could you find out the fastest option to get that to me in Hyattsville, MD (Zip: 20782)?",34,"[{""start"": 42, ""end"": 47, ""text"": ""50362"", ""labels"": [""PRODUCT""]}]",2,34,2021-11-21T22:36:12.852874Z,2021-11-21T22:36:12.852912Z,4.182
"I want to get these ariat boots 8677391 as a gift for someone but would need this in Nashville, TN 37135 in the next three days. Do you have a shipping option that could make that happen? If I settle for standard shipping, when would I receive this?",33,"[{""start"": 32, ""end"": 39, ""text"": ""8677391"", ""labels"": [""PRODUCT""]}]",2,33,2021-11-21T22:36:08.098683Z,2021-11-21T22:36:08.098758Z,2.927
"I want to get the Madison comforter (33986176) but would like to assure I'll be home when it's delivered. Could I require a signature upon delivery so if it is in fact delivered when I'm out, it will be kept at the post office?",32,"[{""start"": 37, ""end"": 45, ""text"": ""33986176"", ""labels"": [""PRODUCT""]}]",2,32,2021-11-21T22:36:04.604926Z,2021-11-21T22:36:04.604963Z,3.013
"When do you think I'd receive the SKU #: 089836185259 if I order it tomorrow and it's being shipped to Oakland, CA? Do you have an overnight shipping option?",31,"[{""start"": 41, ""end"": 53, ""text"": ""089836185259"", ""labels"": [""PRODUCT""]}]",2,31,2021-11-21T22:36:00.818199Z,2021-11-21T22:36:00.818241Z,3.838
"When do you think I'd get this protein, 2057149, if I order tomorrow and it's being shipped to Tulsa, Oklahoma?",30,"[{""start"": 40, ""end"": 47, ""text"": ""2057149"", ""labels"": [""PRODUCT""]}]",2,30,2021-11-21T22:35:56.398858Z,2021-11-21T22:35:56.398894Z,4.442
"I was thinking of ordering a hoodie, specifically SKU# 3709132 in a large, but wanted to know when I would receive it in Austin, TX if I was to order later today? Do you offer tracking on all your orders?",28,"[{""start"": 55, ""end"": 62, ""text"": ""3709132"", ""labels"": [""PRODUCT""]}]",2,28,2021-11-21T22:35:49.261705Z,2021-11-21T22:35:49.261815Z,4.358
"I want to get these Converse sneakers (484798)  as a gift for someone but would need this in Nashville, TN in the next three days. Do you have a shipping option that could make that happen? If I settle for standard shipping, when would I receive this?",26,"[{""start"": 39, ""end"": 45, ""text"": ""484798"", ""labels"": [""PRODUCT""]}]",2,26,2021-11-21T22:35:41.259471Z,2021-11-21T22:35:41.259544Z,5.835
"Is there a way to sign up for delivery alerts via text? I'm going to be ordering the clip 2 wireless speaker, product JBLCLIP2BLKAM, and having it sent to me in Pineville, NC 28134, and I'd love to get an alert when it arrives. Also, will I get an email notification when this is posted to the mail?",25,"[{""start"": 118, ""end"": 131, ""text"": ""JBLCLIP2BLKAM"", ""labels"": [""PRODUCT""]}]",2,25,2021-11-21T22:35:34.828126Z,2021-11-21T22:35:34.828161Z,15.958
"I'm looking at the Lemox hacksaw [Item # 313734]. Could you tell me the quickest possible shipping option and cost for sending that item to Port Washington, NY (Zip: 11050)? And also, do the credit card address and the shipping address have to be the same when placing an order? I wasn't sure about that.",24,"[{""start"": 41, ""end"": 47, ""text"": ""313734"", ""labels"": [""PRODUCT""]}]",2,24,2021-11-21T22:35:18.269832Z,2021-11-21T22:35:18.269874Z,3.811
"I'd like to order a shoulder bag (product Code: 751244) for my sister and want to receive it as soon as possible in Fairfax, VA for her birthday. When's the soonest you could get this to me? Would you be able to send me a tracking number once it ships?",23,"[{""start"": 48, ""end"": 54, ""text"": ""751244"", ""labels"": [""PRODUCT""]}]",2,23,2021-11-21T22:35:13.831010Z,2021-11-21T22:35:13.831054Z,3.496
"If I decide to order WEB ITEM: 134106, is there a shipping speed you have that could get this to me in Detroit, Michigan in the next three days? Will I be able to track the order after it ships?",22,"[{""start"": 31, ""end"": 37, ""text"": ""134106"", ""labels"": [""PRODUCT""]}]",2,22,2021-11-21T22:35:09.789549Z,2021-11-21T22:35:09.789585Z,3.906
"I wanted to order this sports bra 3722256 but wanted to ask you when I'd receive this if being sent to Cincinnati, OH? Do you have an expedited shipping speed?",20,"[{""start"": 34, ""end"": 41, ""text"": ""3722256"", ""labels"": [""PRODUCT""]}]",2,20,2021-11-21T22:34:59.979959Z,2021-11-21T22:34:59.980000Z,6.077
"When is the estimated delivery date if I was to order the Optimum Nutrition creatine (352339) and have it sent to Boston, MA?",19,"[{""start"": 86, ""end"": 92, ""text"": ""352339"", ""labels"": [""PRODUCT""]}]",2,19,2021-11-21T22:34:53.315012Z,2021-11-21T22:34:53.315065Z,5.748
"I want to get the Kimlor Jumbo Dog Bed #99890 as a gift for someone but would need them in the next three days in Salt Lake City, UT. Do you have a shipping speed that would make that possible?",17,"[{""start"": 40, ""end"": 45, ""text"": ""99890"", ""labels"": [""PRODUCT""]}]",2,17,2021-11-21T22:34:43.430472Z,2021-11-21T22:34:43.430511Z,3.438
"I want to get these platform bone heels in a size 8 B00OTRB2BQ and would like to know about when I'd receive them if being shipped to Athens, GA?",16,"[{""start"": 52, ""end"": 62, ""text"": ""B00OTRB2BQ"", ""labels"": [""PRODUCT""]}]",2,16,2021-11-21T22:34:39.368842Z,2021-11-21T22:34:39.368880Z,5.142
"How much will your standard shipping cost to ship the Sundesa SportMixer Bottle (85322) to Denver, CO (80123)? And do you offer free shipping if I spend over a certain amount?",14,"[{""start"": 81, ""end"": 86, ""text"": ""85322"", ""labels"": [""PRODUCT""]}]",2,14,2021-11-21T22:34:31.088507Z,2021-11-21T22:34:31.088548Z,3.593
"When is the estimated delivery date if I was to order this creatine powder- item number OP-7097/1482971 and have it sent to Burlington, VT?",13,"[{""start"": 88, ""end"": 103, ""text"": ""OP-7097/1482971"", ""labels"": [""PRODUCT""]}]",2,13,2021-11-21T22:34:26.968470Z,2021-11-21T22:34:26.968509Z,8.729
"I think I'm going to get this prada dress 0400093970003 but when would I get it if being shipped to Seattle, WA 98125 with standard shipping speed? If I'm not home when it's delivered will it be left at the post office?",11,"[{""start"": 42, ""end"": 55, ""text"": ""0400093970003"", ""labels"": [""PRODUCT""]}]",2,11,2021-11-21T22:34:04.287194Z,2021-11-21T22:34:04.287236Z,7.638
"If I place an order for the Saffiano Billfold Wallet #47201520 along with the Platinum Square Sunglasses #33014319-614 can you tell me if these will arrive at the same time? I'm having them shipped to Austin, TX (Zip:73301). And is there any way I can select to have these delivered without a signature?",9,"[{""start"": 54, ""end"": 62, ""text"": ""47201520"", ""labels"": [""PRODUCT""]}, {""start"": 106, ""end"": 118, ""text"": ""33014319-614"", ""labels"": [""PRODUCT""]}]",2,9,2021-11-21T22:33:52.394289Z,2021-11-21T22:33:52.394325Z,15.076
"I may buy the Sierra Designs down vest Item #159XA but wanted to see if you had a shipping speed that could get this to me in a medium navy in Boston, MA in the next three days? If I settle for standard shipping, when would I receive this?",8,"[{""start"": 45, ""end"": 50, ""text"": ""159XA"", ""labels"": [""PRODUCT""]}]",2,8,2021-11-21T22:33:36.696587Z,2021-11-21T22:33:36.696623Z,11.801
"I want to get the Goen J mini dress but wanted to see when you think I'd receive this if I order today and have it sent to St. Louis, MO? The dress is number 856147 if that helps.",7,"[{""start"": 158, ""end"": 164, ""text"": ""856147"", ""labels"": [""PRODUCT""]}]",2,7,2021-11-21T22:33:24.319438Z,2021-11-21T22:33:24.319478Z,5.58
"I want to get the Twill Shirt Jacket (WEB ITEM: 145668) as a gift for my mother but would need to receive this within the next three days in Columbus, OH. Do you have a shipping speed that could make that possible? If I settle for standard shipping, when would I receive this in your estimate?",5,"[{""start"": 48, ""end"": 54, ""text"": ""145668"", ""labels"": [""PRODUCT""]}]",2,5,2021-11-21T22:33:04.732098Z,2021-11-21T22:33:04.732140Z,5.816
"Can you tell me if I'll be able to change my shipping address after an order is placed? I want to get the Giuseppe heels for my wife's birthday (8837190) and have them shipped to my parents' house, but I'm not sure if they'll be home when these arrive. I just want to know if I'll be able to change that after the fact, before it ships. Can I choose to add a sign on delivery option? I just don't want my package left alone.",4,"[{""start"": 145, ""end"": 152, ""text"": ""8837190"", ""labels"": [""PRODUCT""]}]",2,4,2021-11-21T22:32:58.264149Z,2021-11-21T22:32:58.264184Z,27.721
"I was wondering if you'd be able to overnight the this trench coat, item number 49185- size 4 to me in Trenton, NJ?",3,"[{""start"": 80, ""end"": 85, ""text"": ""49185"", ""labels"": [""PRODUCT""]}]",2,3,2021-11-21T22:32:29.928585Z,2021-11-21T22:32:29.928627Z,9.933
"When do you think I'd receive the Benchmade 940 Knife, item number TA292194 if I order later today and have it shipped to Madison, Wisconsin? Do you have a fast shipping option, like two or three day delivery?",2,"[{""start"": 67, ""end"": 75, ""text"": ""TA292194"", ""labels"": [""PRODUCT""]}]",2,2,2021-11-21T22:32:19.395190Z,2021-11-21T22:32:19.395230Z,9.961
