,text
49,"Forwarded from Neal Ausman, Galileo Mission Director                                 GALILEO                     MISSION DIRECTOR STATUS REPORT                               POST-LAUNCH                           April 16 - 22, 1993SPACECRAFT1.  On April 19, cruise science Memory Readouts (MROs) were performed for theExtreme Ultraviolet Spectrometer (EUV), Dust Detector (DDS), and Magnetometer(MAG) instruments.  Preliminary analysis indicates the data was receivedproperly.2.  On April 19, a Command Detector Unit Signal-to-Noise Ratio (CDUSNR) testand a Radio Frequency Subsystem Automatic Gain Control (RFSAGC) test wereperformed using the LGA-1 (Low Gain Antenna #1) over DSS-63 (Madrid 70 meterantenna) and DSS-61 (Madrid 34 meter antenna), respectively.  Data analysisis in process.  These tests are periodically performed to provide detailedinformation relative to the telecom command hardware integrity.3.  On April 19, a NO-OP command was sent to reset the command loss timer to264 hours, its planned value during this mission phase.4.  On April 21, the first of two suppressed carrier/DSN (Deep Space Network)advanced receiver characterization tests was performed over DSS-14 (Goldstone70 meter antenna).  The spacecraft modulation index was varied from 43 degreesto 90 degrees for a range of ground receiver bandwidth settings.5.  The AC bus imbalance measurement has not exhibited significant change(greater than 25 DN) throughout this period but the DC bus imbalancemeasurement has.  The AC measurement reads 20 DN (4.5 volts).  The DCmeasurement has ranged from 43 DN (4.6 volts) to 138 DN (16.2 volts) andcurrently reads 138 DN (16.2 volts).  These measurements are consistent withthe model developed by the AC/DC special anomaly team.6.  The Spacecraft status as of April 22, 1993, is as follows:       a)  System Power Margin -  68 watts       b)  Spin Configuration - Dual-Spin       c)  Spin Rate/Sensor - 3.15rpm/Star Scanner       d)  Spacecraft Attitude is approximately 21 degrees           off-sun (lagging) and 5 degrees off-earth (leading)       e)  Downlink telemetry rate/antenna- 40bps(coded)/LGA-1       f)  General Thermal Control - all temperatures within           acceptable range       g)  RPM Tank Pressures - all within acceptable range       h)  Orbiter Science- Instruments powered on are the PWS,           EUV, UVS, EPD, MAG, HIC, and DDS       i)  Probe/RRH - powered off, temperatures within           acceptable range       j)  CMD Loss Timer Setting - 264 hours           Time To Initiation - 184 hoursTRAJECTORY     As of noon Thursday, April 22, 1993, the Galileo Spacecraft trajectorystatus was as follows:	Distance from Earth         169,747,800 km (1.14 AU)	Distance from Sun           286,967,900 km (1.92 AU)	Heliocentric Speed          91,200 km per hour	Distance from Jupiter       532,735,900 km	Round Trip Light Time       18 minutes, 58 secondsSPECIAL TOPIC"
51,ITEM: Klipsch Forte 2 SpeakersCONDITION: MintAGE: 6 months oldPRICE: $1000/pair (retail: $1400/pair)
55,"Graeme> 	Yes, that's known as ""Bresenhams Run Length Slice Algorithm forGraeme> Incremental lines"". See Fundamental Algorithms for Computer Graphics,Graeme> Springer-Verlag, Berlin Heidelberg 1985.Graeme> 	Hmm. I don't think I can help you with this, but you mightGraeme> take a look at the following:Graeme> 	""Double-Step Incremental Generation of Lines and Circles"",Graeme> X. Wu and J. G. Rokne, Computer Graphics and Image processing,Graeme> Vol 37, No. 4, Mar. 1987, pp. 331-334Graeme> 	""Double-Step Generation of Ellipses"", X. Wu and J. G. Rokne,Graeme> IEEE Computer Graphics & Applications, May 1989, pp. 56-69Another paper you might want to consider is:@article{fungdraw,  title=""A Run-Length Slice Line Drawing Algorithm without Division Operations"",  author=""Khun Yee Fung and Tina M. Nicholl and A. K. Dewdney"",  journal=""Computer Graphics Forum"",  year=1992,  volume=11,  number=3,  pages=""C-267--C-277""}Khun Yee"
60,"Neil Gehrels is Prof. Tom Gehrels son.  Tom Gehrels was the discovererof P/Gehrels 3 (as well as about 4 other comets - the latest of whichdoes not bear his name, but rather the name ""Spacewatch"" since he wasobserving with that system when he found the latest comet).  ---------------------------------------------Jim Scotti {jscotti@lpl.arizona.edu}Lunar & Planetary LaboratoryUniversity of ArizonaTucson, AZ 85721 USA"
64,I'm looking to buy a 100% working keyboard for a 286 system (preferably a 101 layout.)  I'm looking to spend about $20.-- 
72,"KDKA has first rights to Pirates games, and will split probably 50-50in conflicts; for Penguins games which are preempted, check out 102.5 WDVE FM (that's right, DVE).  It is also 50,000 watts."
73,"Macintosh II cx with 40 MB HD, 8 MB RAM and 19"" monochromemonitor (Ikegami) is for sale.Asking $3,000, no reasonable (best) offer will be rejected.Contact Konrad at (416) 365-0564m Mon-Frii 9-5."
75,   There are several star map programs available.  Your   job is to choose that you like.  Try anonymous-FTP   from:	ftp.funet.fi:pub/astro/pc/stars			       pc/solar                               mac			       amiga			       atari
76,Hello.  I have the following for sale.  Most of the books arein perfect condition.  If interested please e-mail to chungy2@rpi.edu.----------------------------------------------------------------------Through The Telescope (hard cover)				$14.00              Surface Physics (soft cover)					$13.00The Physics of Structurally Disordered 	Matter: An Introduction	(soft cover)			$55.00Subatomic Physics (hard cover)					$57.00           A First General Relativity (hard cover)				$20.00                 Non-Equilibrium Thermodynamics (soft cover)			$8.00 Advances in Atomic and Molecular Physics.  Vol 1. (hard cover)	$30.00 Advances in Atomic and Molecular Physics.  Vol 3. (hard cover)	$30.00Molecular Beams (hard cover)					$15.00Molecular Beams and Reaction Kinetics. (hard cover)		$20.00 Perturbation Methods in Applied Mathematics. (hard cover)	$40.00Elementary Differential Equations and 	Boundary Value Problems. (hard cover)			$27.00Vector Mechanics for Engineers: Statics 	and Dynamics. (hard cover)				$30.00Free-Electron Lasers. (hard cover)				$20.00
80,"Kirsch Pull down Window Shades	- White, Light Filtering	- 73.25"" Wide, 72"" High, can be cut to width	- Brand new, unopened	- ""Best Quality"", Vinyl Coated Cotton	- Mounting Brackets included	- $35	(Bought at $60 at J.C.Penney)"
86,You probably need an X server running on top of MS DOS.  I use Desqview/Xbut any MS-DOS X server should do.-- 
93,NAPA remanufactured large 4 barrel carburetor for 78-80big-block 360/440 Dodge.  Part #4-244.  New in box w/manifold gasket.Retail: $345.00NAPA price: $250.00Your price $100.00 + shipping
100,You also have a severe problem with news headers.FTP to cs.purdue.edu:pub/vanecek and pull proxima.tar.Zand proxima.ps.Z.  Tres spif.-- 
101,"Time for some spring cleaning, so the following items are upfor sale:Roland MT-32 Multi-Timbre Sound module.    LA synthesis, upto 32 simultaneous voices, 128 preset timbres,  20-char backlit LCD display, MIDI in/out/thru, reference card,  stereo output, etc  Great for games that support it (music on the MT32 is far  superior to any sound card), experimenting with MIDI, or  for adding additional sounds to your MIDI setup.  $235 + shippingCanon RC-250 Xapshot still video camera system.  Includes: camera, carrying pouch, battery pack, battery charger,  ac adapter, video cables, two 2.5"" floppies (each disk holds  50 pictures for 100 pics total), manuals, etc  Video output is standard NTSC composite and can be sent to any  NTSC device (e.g. to a television for direct viewing of your  pictures, to a VCR to record a slideshow, to a computer video  digitizer to save/manipulate the pictures on a computer system)  $295 + shippingAmbico Video Enhancer/Audio Mixer  Three-line stereo audio mixer with microphone input and master  volume slider w/video enhancer to boost & sharpen video images  when dubbing from VCR->VCR, camcorder->VCR, etc  $38 + shipping2400 baud PC internal modem  $25 + shippingQuantum 105MB 3.5"" internal ProDrive hard disk  This unit has recently turned unreliable and erratic in usage.  Could be a simple easily fixed problem or a major problem,  but at any rate I don't have the time to find out where the  problem lies.  If you want to take a risk on it, you can have  it for $45 + shipping.If interested in any of the above items, please Email me."
106,"Help me make money for a new modem                         $180.00 takes it ALL              ***** SHIPPING NOT INCLUDED IN PRICE *****  *   All original documentation & disks are include.      Some software unregistered, others will have letter for transfer      of ownership.  *   Will sell software seperately, purchase must be greater than      $30.00.  *   Purchases over $60.00 get choice of two (2) software selections      with ""*"" footnote  W - Windows 3.x version  D - DOS version  R - Registered (letter of transfer)  U - Unregistered  * - Special offerMS Windows 3.0MS Windows 3.0 Resource Kit (bound ed.). . . . . . . . . . $ 15.00 WRNorton Desktop for Windows 1.0. . . . . . . . . . . . . . .$ 15.00 WRMS Excel 4.0. . . . . . . . . . . . . . . . . . . . . . . .$ 70.00 WR   Gateway 2000 version (all docs & disks MS)   This is the real thing, it only shipped   with my computer!!MicroCourier 1.0. . . . . . . . . . . . . . . . . . . . . .$ 15.00 WU   Communucations softwareMS Entertainment Pack I. . . . . . . . . . . . . . . . . . $ 10.00*WRMicroProse's Gunship 2000 (VGA only). . . . . . . . . . . .$ 20.00 DULinks 386-PRO. . . . . . . . . . . . . . . . . . . . . . . $ 25.00 DR   Includes Bountiful Golf CourseWing Commander II(Vengeance of the Kilrathi!). . . . . . . . . . . . . . . .$ 20.00 DRF-15 Strike Eagle II. . . . . . . . . . . . . . . . . . . .$ 10.00*DRRisk (EGA). . . . . . . . . . . . . . . . . . . . . . . . .$  8.00*DUEasyFlow 6.0. . . . . . . . . . . . . . . . . . . . . . . .$ 35.00 DU   Brand new - Never usedQuicken 4.0. . . . . . . . . . . . . . . . . . . . . . . . $ 15.00 DRFranklin Language Master. . . . . . . . . . . . . . . . . .$ 10.00*DR    Not a spell checker, but a dictionary    TSR that pops up for any DOS app.    Each word has direct link to the thesaurusIBM DOS 4.00. . . . . . . . . . . . . . . . . . . . . . . .$ 10.00*DR                                            TOTAL. . . . . $313.00                                          - DISCOUNT. . . .$133.00                                                           -------                                            YOUR COST. . . $180.00Call Michael @ (804) 486-7018 any day between 10a & 10p est. or leaveE-mail.  Thanks!                                                                                                                    "
107,"Archer> How about ""Interactive Sex with Madonna""?or ""Sexium"" for short./Lars"
111,"Reduced Prices! I have a list of things forsale on behalf of my brother, who's moving (movedalready)								Offer:1) Black and Decker Duster Plus (Portable Hand Vaccum)	 	purchased for $32, 					  $122) SR-1000 Dual Cassette Portable Player, AM/FM5-Band graphics Equalizer, high speed dubing, Duo Tape.Tape deck A, seems to have lost treble sound. But, I bet  it's fixable.	purchased for $80					  $253)Monolux Zoom MicroScope, up to 1200X magnificationMade in Japan, includes case and accessories	purchased for $50					  $204)Sunbeam 1400 Hair Dryer, the dryer you put your head under/into. You know, the ones you see in the salons.(Don't ask me why my bro had it)	purchased for $60				          $245)Everylast Speed Bag, all leather. Brand new, never used								  $106)Osterizer Pusle Matic Blender, with 10 speeds and a cookbook, 5 years old					  $10	purchased for $508)Binolux Binoculars . 7x35, extra wide angle525ft. at 1000yds. with case. very new.		                  $209)Proctor and Silex Spray,Steam and Dry Iron.very new.							  $10Any questions, contact me thru e-mail and I will reply expeditouslyAnd always, S+H are not included, so please consider this.And lastly, I'm a very reasonable.Very Reasonable."
113,"Sure.  Contact the World Space Foundation.  They're listed in the sci.spaceFrequently Asked Questions file, which I'll excerpt.    WORLD SPACE FOUNDATION - has been designing and building a solar-sail    spacecraft for longer than any similar group; many JPL employees lend    their talents to this project. WSF also provides partial funding for the    Palomar Sky Survey, an extremely successful search for near-Earth    asteroids. Publishes *Foundation News* and *Foundation Astronautics    Notebook*, each a quarterly 4-8 page newsletter. Contributing Associate,    minimum of $15/year (but more money always welcome to support projects).	World Space Foundation	Post Office Box Y	South Pasadena, California 91301WSF put together a little paperback anthology of fiction andnonfiction about solar sails: *Project Solar Sail*.  I think RobertStaehle, David Brin,  or Arthur Clarke may be listed as editor.Also there is a nontechnical book on solar sailing by Louis Friedman,a technical one by a guy whose name escapes me (help me out, Josh),and I would expect that Greg Matloff and Eugene Mallove have somethingto say about the subject in *The Starflight Handbook*, as well asquite a few references.Check the following articles in *Journal of the British InterplanetarySociety*:V36 p. 201-209 (1983)V36 p. 483-489 (1983)V37 p. 135-141 (1984)V37 p. 491-494 (1984)V38 p. 113-119 (1984)V38 p. 133-136 (1984)(Can you guess that Matloff visited Fermilab and gave me a bunch ofreprints? I just found the file.)And K. Eric Drexler's paper ""High Performance Solar Sails and RelatedReflecting Devices,"" AIAA paper 79-1418, probably in a book called*Space Manufacturing*, maybe the proceedings of the Second (?)Conference on Space Manufacturing.  The 1979 one, at any rate."
114,"From article <1pf5qe$b3b@seven-up.East.Sun.COM>, by jorge@erex.East.Sun.COM (Jorge Lach - Sun BOS Hardware):"
115,FOR SALE:	Orchid Fareheit 1280 24bit color card	-1 meg 	-almost new	$200 or best offerThis is a post for a friendCall him (Thuan Pho) at 314-368-3624
117,"Joe,	your description sounds like one of the  gravity probe  spacecraftideas."
120,Your Custom Resume On Disk!                      *Macintosh or IBM compatible!* 	   Never pay the high cost of copy service again. We will completelydevelop and format your custom resume package and mail you the disk ortransmit the information via electronic mail within 48 hours! With over25 years experience in  the employment industry and a member of theNational Resume Writer's Association you can leave the burden ofdeveloping your resume to us!  You can easily custom edit allinformation to target each company and position.                    Complete $40.00 package includes:                   -> Custom developed resume                   -> Custom cover letter                   -> Custom follow-up letter                   -> Custom interview thank you letter                   -> Custom job acceptance letter                   -> Custom job decline letter                   -> Custom resignation letter Laser printed copies on high-quality paper available upon request. 
123,"If you are interested in (any of) the following, please contact me:        EMail           mbeck@vtssi.vt.edu        Phone           (703)552-4381        USMail          Michael Beck                        1200 Progress Street #5500E                        Blacksburg, Virginia 24060~~~~~~~~~~FOR SALE as of 12AM 4/16/93~~~~~~~~~~ 1       PANASONIC AF X8 CCD OmniMovie Camcorder                VHS HQ                High Speed Shutter                Flying Erase Head                ca. 3 years old, but only used VERY lightly                Date/Time stamp                Counter/Memory                Rec Review                Fade                Back Light                Auto/Manual Focus                Built in microphone/Jack for external microphone                Comes with:                        Sturdy aluminum/hardplastic carrying case                                (20"" long X 13"" wide X 6"" high)                        Shoulder strap                        Power adaptor/battery charger                        Battery pack                        Remote recording controller                        UHF/VHF ---> cable adaptor                        Audio/Video cables and adaptor                Aproximate dimensions (measured around outmost features)                        15"" long X 4"" wide X 8"" high (w/ handle)                ASKING PRICE:  $BEST OFFER so far $350, but looking for more                                 ($700 new price) 1       AMIGA 3000UX    25mhz, unix compatible machine w/100 meg Hard                Drive, 4 meg RAM, no monitor, keyboard (ESC and ~ keys                 broken)                ASKING PRICE:   $1500 OBO. 1       Hewlett Packard ThinkJet Printer w/ HP-IB interface                 Like NEW in original box                ASKING PRICE:   $250 OBO. SOLD!!     AT&T Portable Cellular Phone, Model 3730                ASKING PRICE:   $SOLD FOR $350 (Listed at $600 new)"
131,TOSHIBA P321SL-track/friction feeds-LCD display-3.5 months old-like new-sample print-out sheet (GEOWORKS) available-EMULASER (a 2-month old program by VERTISOFT   makes print-out look like an inkjet print-out)-$175 firm.
137,"Olympus Stylus, 35mm, pocket sized, red-eye reduction, timer, fully automatic.Time & date stamp, carrying case.  Smallest camera in its class.Rated #2 in Consumer Reports.  Excellent condition and only 4 months old.Worth $169.95.  Purchased for $130.  Selling for $100.  "
143,Nikkor AF 70-210 f/4-5.6 zoom lens. Excellent condition. I'm looking to get the2.8 version so I'm selling this.
146,"BOAT For SALE1989 23' IMPERIAL FISHERMAN featuring        Walkaround Cuddy Cabin, 305 V8 with VOLVO DUO PROP OUTDRIVE /\/\/\/AM-FM Cassette Stereo, VHF RADIO, 4x6 HUMMINGBIRD Fishfinder, ALL  Saftyequipment, Covers, and MUCH MORE.          18000 LB.  Capacity        includes Storage Trailer        Hardly used:  LESS Than 100 Hrs"
156,"Panasonic KX-T3000H, Combo black cordless & speaker phone all in one. new- $160, now- $100 + shipping OBO. Curtis Mathes VHS VCR Remote included and it works with universal remotes. Works great but I replaced it with a Stereo VCR. paid $300 years ago, will sell for $125 delivered OBO. Radio Shack stereo amp.  2 inputs, tone, and left and right volume.  Speakers not included.  $20 plus shipping. If you are interested in either of the above mail me at radley@gibbs.oit.unc.edu or call me, Keith, at 919-968-7779. PS- I made a type on my email address the first posting.  It is now correct."
161,"Sony D-22 portable Diskman forsale            Good condition, flawless.            Costomer AC adapter : 6v DC power supply ( tested 9v DC)              * The factory adapter was tested 12v DC (AC 110v input) at the          time I bought it three years ago. When using it, a lot of heat          was generated inside the CD machine. Of course I wouldn't use          it to risk this baby's life. Maybe that's why so many owners          always complain about their portable machine going kaput after          a short time usage.        * 9v DC factory suggested            LED display"
170,"Maine 5, LSSU 4."
